,ЗП,Ищет работу на должность:,"Город, переезд, командировки",Занятость,График,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы месяцев,Город,Готовность к переезду,Готовность к командировкам,Готовность к переезду1,Готовность к командировкам1
22277,90000 руб.,Аналитик,"Москва ,  м. Селигерская , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, удаленная работа","Снежная Королева, Торговый Дом",Аналитик коммерческого планирования,07.08.2018 12:02,Не указано,высшее,М,31,63.0,Москва,True,False,True,True
22279,150000 KZT,"IT-инженер, переводчик,","Актобе , готов к переезду (Актау, Атырау, Актобе, Астана) , не готов к командировкам","частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график",ТОО Бриг,Видеооператор,22.04.2019 21:22,Не указано,высшее,М,27,104.0,другие,True,False,True,True
22281,55000 руб.,PHP-программист,"Минск , готов к переезду (Москва, Санкт-Петербург, Киев, Новосибирск, Одесса) , не готов к командировкам",полная занятость,удаленная работа,Индивидуальное предпринимательство / частная практика / фриланс,PHP-программист,22.04.2019 21:50,Имеется собственный автомобиль,высшее,М,34,157.0,другие,True,False,True,True
22309,40000 руб.,Тестировщик игр,"Калининград , готов к переезду (Беларусь, Россия, Казахстан, Другие страны) , не готов к командировкам",полная занятость,"полный день, удаленная работа",Усинск-сеть,"Специалист по работе с юридическими лицами, начальник отдела по работе с клиентами",11.04.2019 12:48,Не указано,неоконченное высшее,М,24,31.0,другие,True,False,True,True
22409,60000 руб.,Заместитель,"Королев , готов к переезду (Москва, Санкт-Петербург, Ямало-Ненецкий АО, Амурская область, Республика Адыгея, Ярославская область, Нижегородская область, Ленинградская область, Республика Коми, Республика Тыва, Республика Калмыкия, Республика Мордовия, Евр","стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","Общество с Ограниченной Ответственностью ""ЖелДорЛогистика""",Руководитель филиала,11.04.2019 13:06,Не указано,высшее,М,34,107.0,другие,True,False,True,True
22733,100000 руб.,Data Analyst / Developer,"Санкт-Петербург ,  м. Комендантский проспект , готов к переезду (Ижевск, Москва, Нидерланды, Санкт-Петербург, Финляндия, Испания, Франция, Италия, Чехия, Швейцария, Кипр, Канада, Япония, Норвегия, Шотландия, Великобритания, США, Швеция, Хорватия, Германия","проектная работа, стажировка, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график","Тензор, ООО",Backend developer,10.05.2019 23:40,Не указано,высшее,М,22,21.0,Санкт-Петербург,True,False,True,True
22774,118500 руб.,С/С++/Linux/Embedded - программист,"Коломна , готов к переезду (Республика Алтай, Москва, Узбекистан, Алтайский край, Омская область, Санкт-Петербург, Московская область, Челябинская область, Рязанская область, Другие страны, Свердловская область, Беларусь, Новосибирская область, Республика","волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",АО «НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И КОНСТРУКТОРСКО-ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ ПОДВИЖНОГО СОСТАВА»,Инженер-программист 1 категории,07.05.2019 08:19,Не указано,высшее,М,34,168.0,другие,True,False,True,True
23018,35000 руб.,Системный администратор,"Белово , готов к переезду (Прокопьевск, Кемерово) , не готов к командировкам",полная занятость,"полный день, вахтовый метод, удаленная работа",OOO Разрез Пермяковский,Системный администратор,06.04.2019 13:14,Не указано,высшее,М,28,74.0,другие,True,False,True,True
23021,299000 руб.,Руководитель Software QA,"Москва ,  м. Комсомольская , готов к переезду (Нидерланды, Ирландия, Финляндия, Испания, Франция, Италия, Швейцария, Новая Зеландия, Канада, Исландия, Япония, Норвегия, Шотландия, Россия, Индия, Португалия, Великобритания, США, Швеция, Германия, Дания) ,",полная занятость,полный день,Clarivate Analytics,"Manager, Development Services",13.05.2019 18:13,Не указано,высшее,М,32,136.0,Москва,True,False,True,True
23063,30000 руб.,Специалист службы поддержки пользователей,"Москва ,  м. Ростокино , готов к переезду (Москва, Мытищи) , не готов к командировкам","частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график","ООО ""Техноллект""/ИП ""Буряков С.В.""",Специалист по работе с клиентами,27.04.2019 00:24,Не указано,высшее,М,41,102.0,Москва,True,False,True,True
23127,70000 руб.,Сетевой инженер,"Москва ,  м. Румянцево , готов к переезду (Нидерланды, Австралия, Австрия, Чехия, Республика Куба, Новая Зеландия, Ленинградская область, Индия, Сербия, Великобритания, США, Швеция, Греция, Германия, Дания, Ирландия, Испания, Франция, Италия, Минск, Швейц","частичная занятость, проектная работа, полная занятость","полный день, удаленная работа",КРЕДО-ТЕЛЕКОМ,Сетевой Инженер,19.04.2019 09:53,Не указано,неоконченное высшее,М,28,54.0,Москва,True,False,True,True
23459,50000 руб.,Менеджер проекта,"Ставрополь , готов к переезду (Астраханская область, Республика Северная Осетия-Алания, Волгоградская область, Ставропольский край, Республика Адыгея, Республика Дагестан, Республика Калмыкия, Кабардино-Балкарская республика, Республика Ингушетия, Ростовс",полная занятость,полный день,"ООО ""НПО Инженерные системы""",Менеджер проектов,27.04.2019 11:31,Не указано,высшее,М,52,307.0,другие,True,False,True,True
23660,30000 руб.,Системный администратор,"Самара , готов к переезду (Москва, Екатеринбург, Тюмень) , не готов к командировкам",полная занятость,"полный день, сменный график, удаленная работа","Филиал ФГБУ ""ФКП Росреестра"" по Самарской области",Ведущий инженер-программист,22.04.2019 12:50,Не указано,высшее,М,27,66.0,город-миллионник,True,False,True,True
23950,40000 руб.,Специалист по IT,"Сургут , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график",УМВД РОССИИ ПО Г. Сургуту,Оператор ЭВМ,22.04.2019 08:42,Имеется собственный автомобиль,высшее,М,25,39.0,другие,True,False,True,True
24129,30000 руб.,Инженер электросвязи,"Яшалта , готова к переезду (Астраханская область, Республика Калмыкия, Ставрополь, Краснодар, Волгоградская область, Калининград, Ростовская область, Сочи) , не готова к командировкам",полная занятость,"полный день, сменный график, удаленная работа",Ростелеком,Инженер электросвязи,08.04.2019 13:16,Не указано,высшее,Ж,30,101.0,другие,True,False,True,True
24570,68000 руб.,"программист PHP(Yii/Yii2, CodeIgniter, Kohana)","Севастополь , готов к переезду (Липецкая область, Московская область, Брянская область, Волгоградская область, Орловская область, Ульяновская область, Нижегородская область, Тамбовская область, Воронежская область, Курская область, Белгородская область, Р","проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день",Фриланс,Web-разработчик,10.04.2019 18:12,Имеется собственный автомобиль,среднее специальное,М,46,101.0,другие,True,False,True,True
24619,60000 руб.,"Специалист службы поддержки, работа с клиентами","Москва , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","Московский финансово-промышленный университет ""Синергия""",Менеджер по продажам,26.04.2019 15:33,Не указано,высшее,М,26,46.0,Москва,True,False,True,True
24902,60000 руб.,Сотрудник крупной организации,"Красноярск , готов к переезду (Москва, Республика Крым, Калужская область, Ярославская область, Смоленская область, Нижегородская область, Республика Мордовия, Республика Марий Эл, Курская область, Белгородская область, Ивановская область, Приморский край",полная занятость,"гибкий график, полный день, сменный график",УПФР в г.Железногорске Красноярского края,Начальник отдела ПУВС,21.04.2019 12:30,Не указано,высшее,М,37,231.0,город-миллионник,True,False,True,True
24955,50000 руб.,ИТ-специалист,"Снежногорск , готов к переезду (Мурманск, Краснодар, Всеволожск, Петрозаводск, Ростов-на-Дону, Кола, Батайск) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа","МАО УДО ""Центр дополнительного образования детей""",Ведущий программист,07.05.2019 12:54,Имеется собственный автомобиль,среднее специальное,М,37,191.0,другие,True,False,True,True
25113,200000 руб.,Директор по ИТ,"Москва , готов к переезду (Финляндия, США, Италия, Калининград, Латвия) , не готов к командировкам",полная занятость,полный день,"ООО ""Зерн""",Руководитель отдела IT,21.04.2019 14:31,Имеется собственный автомобиль,высшее,М,34,141.0,Москва,True,False,True,True
25473,120000 руб.,Начальник отдела (специалист по внедрению) САПР,"Москва ,  м. Бунинская аллея , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,Московский прожекторный завод,Начальник отдела внедрения САПР,21.04.2019 13:29,Имеется собственный автомобиль,высшее,М,40,213.0,Москва,True,False,True,True
25520,120000 руб.,Менеджер проектов,"Москва ,  м. Таганская , готов к переезду (Москва, Санкт-Петербург, Севастополь, Новосибирск, Австралия, Австрия, Армения, Бельгия, Сербия, Великобритания, Швеция, Владивосток, Германия, Дания, Ирландия, Испания, Италия, Калининград, Канада, Исландия, Кит","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Honeywell,"Менеджер по работе с клиентами (направление оборудованию автоматизации и диспетчеризации, отопление, тепловые пункты)",07.05.2019 13:47,Не указано,высшее,М,29,84.0,Москва,True,False,True,True
25601,100000 руб.,Руководитель ИТ-отдела,"Урай , готов к переезду (Ижевск, Санкт-Петербург, Новосибирск, Пермь, Тюмень) , не готов к командировкам",полная занятость,полный день,Eurasia Drilling Company Limited,Начальник ИТ-отдела,20.04.2019 19:09,Имеется собственный автомобиль,высшее,М,33,143.0,другие,True,False,True,True
25741,60000 руб.,Программист 1С 8,"Улан-Удэ , готов к переезду (Москва, Ростов-на-Дону) , не готов к командировкам",полная занятость,полный день,Читаэнергосбыт,Руководитель группы разработки бизнес приложений,26.04.2019 02:18,Имеется собственный автомобиль,высшее,М,49,217.0,другие,True,False,True,True
25753,70000 руб.,"Руководитель ИТ, ИТ директор","Краснотурьинск , готов к переезду (Москва, Санкт-Петербург, Австралия, Австрия, Республика Гватемала, Благовещенск (Амурская область), Армения, Бельгия, Великобритания, Габон, Германия, Панама, Уганда, Дания, Израиль, Ирландия, Испания, Италия, Таиланд, К",полная занятость,"полный день, сменный график, вахтовый метод","АО ""Газпром центрэнергогаз"" филиал ""Югорский""",Заместитель начальника механо-энергетической службы - главный энергетик,07.05.2019 18:24,Имеется собственный автомобиль,высшее,М,39,250.0,другие,True,False,True,True
25906,4000 USD,DSP программист инженер,"Москва , готов к переезду (Москва, Ленинградская область, Санкт-Петербург, Киев) , не готов к командировкам",полная занятость,полный день,г.Киев,инженер - программист,07.05.2019 12:33,Не указано,высшее,М,42,207.0,Москва,True,False,True,True
25946,120000 руб.,2D-художник,"Санкт-Петербург , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","полный день, удаленная работа",Индивидуальное предпринимательство / частная практика / фриланс,2D-художник,06.05.2019 22:33,Не указано,высшее,М,24,21.0,Санкт-Петербург,True,False,True,True
26063,30000 руб.,инжинер,"Тула , готов к переезду (Москва, Калуга) , не готов к командировкам","частичная занятость, полная занятость","полный день, сменный график",Всероссийский государственный университет юстиции РПА Минюста России,Инженер компьютерных систем и сетей,26.04.2019 08:52,Имеется собственный автомобиль,среднее специальное,М,28,88.0,другие,True,False,True,True
26098,70000 руб.,Frontend разработчик,"Новотроицк (Оренбургская область) , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"полный день, удаленная работа","АО ""Уральская Сталь"" (НОСТА)",Ведущий специалист отдела АСУП ДИТ,26.04.2019 14:43,Имеется собственный автомобиль,высшее,М,42,239.0,другие,True,False,True,True
26158,80000 руб.,Системный администратор,"Москва , готов к переезду (Путилково, Химки) , не готов к командировкам",полная занятость,полный день,ФГБУ Детский медицинский центр при президенте РФ,Инженер отдела ИТО,18.04.2019 11:04,Не указано,высшее,М,30,95.0,Москва,True,False,True,True
26161,50000 руб.,.net разработчик,"Оренбург , готов к переезду (Москва, Санкт-Петербург, Самарская область, Московская область) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, вахтовый метод","АО ""ПО ""Стрела""""",Техник-программист,18.04.2019 06:39,Не указано,неоконченное высшее,М,24,43.0,другие,True,False,True,True
26220,60000 руб.,Web-программист,"Куйбышев , готов к переезду (Новосибирск, Омск, Красноярск, Барнаул) , не готов к командировкам",полная занятость,полный день,"АО ""Новосибирскэнергосбыт""",Инженер-программист,11.04.2019 10:08,Не указано,высшее,М,30,70.0,другие,True,False,True,True
26254,45000 руб.,Инженер АСУП,"Нижнекамск , хочу переехать (Анапа, Туапсе, Краснодар, Адлер, Сочи) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","ТАИФ, Группа компаний",Инженер АСУП 2 категории,27.04.2019 09:19,Не указано,высшее,М,26,42.0,другие,True,False,True,True
26291,72100 руб.,Инженер-программист,"Москва , готов к переезду (Украина, Австралия, Австрия, Беларусь, Бельгия, Сербия, Тайвань, Великобритания, Швеция, Германия, Панама, Грузия, Израиль, Ирландия, Испания, Италия, Доминиканская Республика, Таиланд, Канада, Исландия, Мальта, Китай, Андорра,","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","АО ""ЛЭС"" / Локомотивные электронные системы",Инженер-программист,04.12.2018 08:28,Не указано,высшее,М,36,167.0,Москва,True,False,True,True
26330,55000 руб.,Веб-разработчик,"Ижевск , готов к переезду (Москва, Казань) , не готов к командировкам","частичная занятость, полная занятость","полный день, удаленная работа","ООО ""Сила Пара""",Веб-разработчик,11.04.2019 20:03,Не указано,высшее,М,23,14.0,другие,True,False,True,True
26590,30000 руб.,Frontend-разработчик,"Вологда , готов к переезду (Ярославль, Нижний Новгород) , не готов к командировкам",полная занятость,полный день,"""Севзапдорпроект""",Инженер-проектировщик,15.04.2019 10:43,Имеется собственный автомобиль,высшее,М,28,53.0,другие,True,False,True,True
26610,70000 руб.,Менеджер интернет-магазина,"Москва , готов к переезду (Долгопрудный, Лобня) , не готов к командировкам",полная занятость,полный день,Скай-такси,Техник-перегонщик,16.04.2019 16:30,Не указано,неоконченное высшее,М,36,100.0,Москва,True,False,True,True
26666,50000 руб.,Менеджер интернет-магазина,"Химки , готов к переезду (Россия, Другие страны) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график",Geek wars,Менеджер интернет-магазина,16.04.2019 09:23,Не указано,неоконченное высшее,М,25,22.0,другие,True,False,True,True
26671,50000 руб.,ИТ-специалист,"Ярославль , готов к переезду (Москва, Рыбинск) , не готов к командировкам",полная занятость,"полный день, удаленная работа",Центр выдачи электронных подписей,Специалист технической поддержки (ЭЦП),26.04.2019 09:00,Не указано,высшее,М,29,35.0,другие,True,False,True,True
26867,80000 руб.,Руководитель отдела информационных технологий,"Рязань , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,"ГБУ РО ""ОКБ им. Н. А. Семашко""",Начальник отдела информационных технологий и связи,10.04.2019 10:16,Не указано,высшее,М,29,76.0,другие,True,False,True,True
27044,70000 руб.,Инженер,"Сибай , хочу переехать (Москва, Алтайский край, Ненецкий АО, Санкт-Петербург, Республика Крым, Республика Башкортостан, Ямало-Ненецкий АО, Челябинская область, Сахалинская область, Амурская область, Свердловская область, Республика Коми, Республика Карели",полная занятость,"гибкий график, полный день, сменный график, вахтовый метод",Ростелеком,Мастер по обслуживанию абонентов участка сервисной и технологической поддержки.,11.04.2019 12:05,Не указано,высшее,М,29,69.0,другие,True,False,True,True
27530,130000 руб.,Менеджер/Ведущий инженер/Старший инженер,"Таджикистан , готов к переезду (Москва, Санкт-Петербург, Екатеринбург, Краснознаменск (Московская область), Давыдово (Московская область, Орехово-Зуевский район), Красноармейск (Московская область), Канада, Подольск (Московская область), Пушкино (Московск",полная занятость,полный день,"""Tacom"" LLC",Руководитель направления по развитию  и оптимизации сети доступа и транспорта,26.04.2019 09:37,Не указано,высшее,М,34,75.0,другие,True,False,True,True
27554,75000 руб.,Удалённый системный администратор,"Екатеринбург , готов к переезду (Москва, Екатеринбург) , не готов к командировкам","частичная занятость, проектная работа, полная занятость",удаленная работа,"ООО ""Айти Сервис Клик""",Генеральный  директор,09.04.2019 07:12,Не указано,неоконченное высшее,М,41,164.0,город-миллионник,True,False,True,True
27594,1000 USD,Frontend-разработчик,"Краснодар , хочу переехать (Краснодар, Сочи) , не готов к командировкам",полная занятость,полный день,Индивидуальное предпринимательство / частная практика / фриланс,Frontend-разработчик,07.05.2019 11:16,Не указано,высшее,М,30,86.0,другие,True,False,True,True
27739,3000 USD,Программист MQL4/ MQL5 для MetaTrader4/MetaTrader5,"Москва , готов к переезду (Нидерланды, Австрия, Чехия, Люксембург, Норвегия, ОАЭ, Бельгия, Великобритания, США, Германия, Дания, Израиль, Испания, Франция, Италия, Швейцария, Кипр, Канада, Япония, Венгрия, Лихтенштейн, Монако, Черногория, Хорватия, Словен",полная занятость,"гибкий график, полный день, удаленная работа",Freelance,Программист MQL4/MQL5,26.04.2019 13:31,Имеется собственный автомобиль,высшее,М,55,354.0,Москва,True,False,True,True
27875,1500 USD,Системный администратор Linux,"Орел , готов к переезду (Москва, Санкт-Петербург, Украина, Австралия, Австрия, Ямайка, Республика Гватемала, Беларусь, Белгород, Бельгия, Сербия, Тайвань, Великобритания, Швеция, Германия, Панама, Дания, Краснодарский край, Израиль, Ирландия, Испания, Ита","частичная занятость, полная занятость","удаленная работа, полный день, сменный график","ООО ""Регион плюс""",Системный администратор,07.05.2019 08:52,Имеется собственный автомобиль,высшее,М,39,182.0,другие,True,False,True,True
27895,2000 EUR,Программист-разработчик,"Москва , хочу переехать (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день","ОАО Сургутнефтегаз, Управление связи и телекоммуникации?",инженер электроник I категории,15.04.2019 08:55,Не указано,высшее,М,46,253.0,Москва,True,False,True,True
27952,1000 USD,Программист/ аналитик,"Алматы , готова к переезду (Алматы, Москва, Санкт-Петербург) , не готова к командировкам",полная занятость,удаленная работа,"Kaspi Bank, АО",Спецалист по разработке и сопровождени ПО,22.04.2019 10:52,Не указано,высшее,Ж,28,73.0,другие,True,False,True,True
28029,1400 EUR,IT support Engineer,"Ростов-на-Дону , хочу переехать (Нидерланды, Австрия, Чехия, Болгария, Польша, Новая Зеландия, Норвегия, Бельгия, Сербия, Великобритания, США, Швеция, Греция, Германия, Дания, Ирландия, Финляндия, Испания, Франция, Италия, Румыния, Швейцария, Канада, Эсто","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Atos IT Solutions and Services s.r.o.,it field service engineer\support engineer,22.04.2019 12:30,Имеется собственный автомобиль,высшее,М,25,71.0,город-миллионник,True,False,True,True
28128,130000 руб.,Тестировщик ПО,"Москва , хочу переехать (США, Австралия) , не готов к командировкам",полная занятость,полный день,Крупная международная компания,Тестировщик ПО,07.12.2018 17:02,Не указано,высшее,М,28,76.0,Москва,True,False,True,True
28136,200000 руб.,"Ведущий разработчик Go, тимлид, руководитель группы/отдела разработки","Москва ,  м. Южная , готов к переезду (Греция, Кипр) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",ЗамЗамТекнолоджи,Ведущий разработчик (Golang),07.05.2019 18:47,Не указано,высшее,М,43,225.0,Москва,True,False,True,True
28436,135000 руб.,Системный администратор Linux,"Санкт-Петербург , готов к переезду (Москва, Нидерланды, Санкт-Петербург, Австралия, Австрия, Чехия, Болгария, Польша, Новая Зеландия, Люксембург, Норвегия, Шри-Ланка, ОАЭ, Бельгия, Великобритания, США, Швеция, Греция, Германия, Дания, Израиль, Ирландия, Ф","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",CloudLinux,Level 3 Support Engineer,07.05.2019 14:18,Не указано,неоконченное высшее,М,37,154.0,Санкт-Петербург,True,False,True,True
28440,133000 руб.,Главный специалист по автоматизации (АСУТП и КИПиА) производства предприятия,"Москва , готов к переезду (Москва, Санкт-Петербург, Псковская область, Калужская область, Вологодская область, Смоленская область, Нижегородская область, Ленинградская область, Курская область, Белгородская область, Ивановская область, Новгородская област",полная занятость,полный день,Домодедово. Московский аэропорт,Начальник подгруппы автоматизации и диспетчеризации -Главный специалист,26.04.2019 07:40,Не указано,высшее,М,40,230.0,Москва,True,False,True,True
28602,45000 руб.,Специалист IT отдела,"Краснодар , готов к переезду (Москва, Санкт-Петербург, Ростов-на-Дону, Сочи) , не готов к командировкам","проектная работа, частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день","ГБУЗ ""ККБ№2""",техник ИВЦ,22.04.2019 16:01,Не указано,высшее,М,25,52.0,другие,True,False,True,True
29014,200000 руб.,Программист,"Москва ,  м. Электрозаводская , готов к переезду (Нидерланды, Австралия, Австрия, Чехия, Новая Зеландия, Люксембург, Норвегия, Великобритания, США, Швеция, Греция, Германия, Грузия, Дания, Израиль, Ирландия, Финляндия, Испания, Франция, Италия, Румыния, Ш",полная занятость,"гибкий график, полный день, удаленная работа",IoTa Controls,Программист-разработчик,15.01.2019 09:08,Имеется собственный автомобиль,высшее,М,31,109.0,Москва,True,False,True,True
29242,45000 руб.,Кладовщик,"Михнево (Московская область, Ступинский район) , не готов к переезду , готов к командировкам",полная занятость,полный день,DHL Global Forwarding (Россия),"Специалист по складской логистике, Руководитель проекта",15.04.2019 09:36,Имеется собственный автомобиль,среднее специальное,М,27,41.0,другие,False,True,False,False
29256,20000 руб.,Системный администратор,"Городец , готов к переезду (Нижний Новгород, Заволжье) , не готов к командировкам",полная занятость,полный день,"ООО УК ""Лад""",Системный администратор,07.05.2019 10:15,Не указано,неоконченное высшее,М,33,133.0,другие,True,False,True,True
29296,80000 руб.,Java-разработчик,"Сочи , готов к переезду (Москва, Ростов-на-Дону) , не готов к командировкам",полная занятость,полный день,Дорожно строительная компания,Мастер участка,22.04.2019 17:47,Не указано,высшее,М,26,40.0,другие,True,False,True,True
29357,140000 руб.,Тестировщик программного обеспечения,"Ермолино , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"удаленная работа, полный день",Аплана Софтвер,Старший инженер-тестировщик,07.05.2019 13:57,Имеется собственный автомобиль,высшее,М,26,94.0,другие,True,False,True,True
29417,160000 руб.,Технический директор,"Красногорск , готов к переезду (Ижевск, Самара) , не готов к командировкам",полная занятость,полный день,Оао нтэк,Ведущий специалист,12.04.2019 21:24,Имеется собственный автомобиль,высшее,М,49,360.0,другие,True,False,True,True
29619,100000 руб.,Программист PHP,"Донецк (Украина) , готов к переезду (Севастополь, Симферополь, Орел, Калуга, Ростов-на-Дону, Рязань, Самара, Таганрог, Саратов, Белгород, Брянск, Смоленск, Тамбов, Волгоград, Курск, Воронеж, Тула) , не готов к командировкам",полная занятость,"гибкий график, полный день, удаленная работа","НижБел, ООО",PHP-программист,26.04.2019 11:13,Не указано,высшее,М,29,52.0,другие,True,False,True,True
29796,150000 KZT,"Инженер-программист, Менеджер, Сервис менеджер, Инженер Сервисного обслуживания","Уральск , готов к переезду (Алматы, Нур-Султан) , не готов к командировкам",полная занятость,полный день,"ТОО Компания ""TRISTAR""",Специалист по IT,26.04.2019 10:34,Не указано,среднее специальное,М,24,71.0,другие,True,False,True,True
30138,40000 руб.,Таможенное дело,"Кисловодск , готов к переезду (Москва, Ставрополь, Краснодар, Пермь, Ростов-на-Дону, Сочи) , не готов к командировкам","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Пятерочка,Администратор магазина,25.04.2019 11:49,Не указано,высшее,М,25,17.0,другие,True,False,True,True
30461,40000 руб.,Программист Java EE,"Челябинск , готов к переезду (Санкт-Петербург, Екатеринбург) , не готов к командировкам",полная занятость,"гибкий график, удаленная работа",Интерсвязь,Инженер-программист,19.04.2019 06:31,Имеется собственный автомобиль,неоконченное высшее,М,21,19.0,город-миллионник,True,False,True,True
30537,30000 руб.,Специалист по информационной безопасноси,"Санкт-Петербург , готов к переезду (Москва, Пермский край, Удмуртская Республика) , не готов к командировкам",полная занятость,полный день,"АО ""РТК""",специалист,22.04.2019 12:30,Не указано,высшее,М,25,23.0,Санкт-Петербург,True,False,True,True
30773,100000 KZT,Техник-программист,"Капчагай , готов к переезду (Алматы, Астана) , не готов к командировкам",полная занятость,"полный день, сменный график, вахтовый метод",ТОО «МО-25»,Лаборант,22.04.2019 09:32,Не указано,среднее специальное,М,24,58.0,другие,True,False,True,True
31026,50000 руб.,Технический специалист,"Великий Устюг , готов к переезду (Архангельская область, Ленинградская область, Республика Коми, Ненецкий АО, Санкт-Петербург, Псковская область, Мурманская область, Республика Карелия, Новгородская область, Калининградская область, Смоленская область) ,",полная занятость,"гибкий график, полный день, сменный график, вахтовый метод","ООО ЧОО  ""Аквилон-Кострома""",Ведущий специалист ТСО,12.04.2019 13:08,Имеется собственный автомобиль,высшее,М,29,119.0,другие,True,False,True,True
31259,210000 руб.,Архитектор ПО,"Москва ,  м. Кожуховская , готов к переезду (Кипр, Сочи) , не готов к командировкам",полная занятость,"гибкий график, полный день","2RealLife, ОАО",Архитектор ПО,16.04.2019 14:51,Имеется собственный автомобиль,высшее,М,36,179.0,Москва,True,False,True,True
31271,40000 руб.,Верстальщик,"Новокуйбышевск , готов к переезду (Москва, Санкт-Петербург, Самара) , не готов к командировкам",полная занятость,"полный день, сменный график",ПрофСтрой,Мастер,10.04.2019 07:10,Имеется собственный автомобиль,высшее,М,24,11.0,другие,True,False,True,True
